code,name,district,percentage_pass,percentage_pass_round,national_rank,candidates_last,number_pass_last,percentage_pass_last,national_rank_last,school_type,longitude,latitude,ownership,ward,number_enrolled,number_teaching_staff,ratio,number_non_teaching_staff_by_school,number_non_teaching_staff_by_govt,region,candidates,number_pass,percentage_pass_change
PS0202-082,Kisukuru Primary School,Ilala Municipal,78.81040892,79,2108,247,185,74.89878543,840,primary,39.19847686,-6.825577212,government,Kimanga,1648,71,23,1,0,Dar es Salaam,269,212,3.911623497
PS0204-006,Kawawa Primary School,Kinondoni Municipal,75.81521739,76,1757,332,218,65.6626506,1278,primary,39.23583313,-6.815233172,government,Mabibo,2913,71,41,3,0,Dar es Salaam,368,279,10.15256679
S0206,Kilakala Secondary School,Morogoro Municipal,100,100,91,84,84,100,88,secondary,,,government,Kilakala,577,70,8,1,14,Morogoro,83,83,0
S1022,Kambangwa Secondary School,Kinondoni Municipal,74,74,760,180,99,55,766,secondary,-6.789980352,39.26178761,government,Mwananyamala,1527,70,22,2,0,Dar es Salaam,275,203,19
PS0202-042,Hekima Primary School,Ilala Municipal,65.73426573,66,4286,312,144,46.15384615,2765,primary,39.2457173,-6.840464835,government,Buguruni,2427,69,35,6,0,Dar es Salaam,286,188,19.58041958
PS0202-049,Kombo Primary School,Ilala Municipal,61.49425287,61,4936,349,117,33.5243553,4806,primary,39.23244156,-6.843691778,government,Vingunguti,3616,69,52,,0,Dar es Salaam,348,214,27.96989757
PS0206-055,Nzasa Primary School,Temeke Municipal,80.63872255,81,1642,434,314,72.35023041,1008,primary,39.25435144,-6.925202331,government,Charambe,4193,69,61,,0,Dar es Salaam,501,404,8.28849214
S1038,J.K. Nyerere Secondary School,Moshi Municipal,79,79,668,261,160,61.30268199,497,secondary,,,government,Miembeni,1061,69,15,3,,Kilimanjaro,251,198,17.69731801
S2859,Mafiga Secondary School,Morogoro Municipal,25,25,4084,243,36,14.81481481,3661,secondary,,,government,Mafiga,805,69,12,3,1,Morogoro,171,43,10.18518519
PS0206-041,Amani Primary School,Temeke Municipal,56.70588235,57,5179,389,192,49.35732648,2633,primary,39.22964989,-6.89189883,government,Buza,366,68,5,2,0,Dar es Salaam,425,241,7.348555875
PS0206-064,Mchikichini Primary School,Temeke Municipal,61.78010471,62,5188,266,113,42.48120301,3466,primary,39.27253553,-6.921962884,government,Mianzini,2267,68,33,,0,Dar es Salaam,382,236,19.2989017
PS0206-080,Majimatitu Primary School,Temeke Municipal,67.0212766,67,3110,420,227,54.04761905,1727,primary,39.24794475,-6.936734414,government,Mianzini,4591,68,68,,0,Dar es Salaam,564,378,12.97365755
S0547,Mazwi Secondary School,Sumbawanga Municipal,78,78,641,217,153,70.50691244,416,secondary,,,government,Izia,810,68,12,86,154,Rukwa,139,108,7.493087558
PS0202-040,Kimanga Primary School,Ilala Municipal,86.39455782,86,1383,308,211,68.50649351,1245,primary,39.20682478,-6.830326374,government,Kimanga,2018,67,30,,0,Dar es Salaam,294,254,17.88806432
PS0206-044,Kingugi Primary School,Temeke Municipal,74.50110865,75,2438,407,258,63.39066339,1439,primary,39.25330333,-6.911869254,government,Kiburugwa,3773,67,56,2,0,Dar es Salaam,451,336,11.11044526
PS0206-069,Yemeni Primary School,Temeke Municipal,88.99082569,89,1446,127,109,85.82677165,662,primary,39.27282944,-6.850147439,private,Miburani,1093,67,16,,0,Dar es Salaam,109,97,3.164054035
S4181,Kilimani Maweni Secondary School,Sumbawanga Municipal,58,58,1948,141,49,34.75177305,2354,secondary,,,government,Majengo,857,67,13,83,150,Rukwa,115,67,23.24822695
PS0202-037,Mtakuja Primary School,Ilala Municipal,63.58381503,64,4103,289,131,45.32871972,3116,primary,39.23226027,-6.843131018,government,Vingunguti,3385,66,51,,0,Dar es Salaam,346,220,18.25509531
S3690,Kanda Secondary School,Sumbawanga Municipal,41,41,3325,130,53,40.76923077,1806,secondary,,,government,Mazwi,501,66,8,79,145,Rukwa,112,46,0.230769231
PS0204-029,Mlimani Primary School,Kinondoni Municipal,89.39393939,89,1315,161,125,77.63975155,679,primary,39.21407595,-6.778163151,government,Ubungo,952,65,15,2,0,Dar es Salaam,132,118,11.75418784
PS2403-022,Mbugani Primary School,Geita,82.24299065,82,2350,,,,,primary,,,government,Kalangalala Kusini,2389,65,37,4,0,Geita,214,176,
PS0204-023,Mavurunza Primary School,Kinondoni Municipal,80.68669528,81,1942,229,159,69.43231441,1129,primary,39.17383452,-6.783524623,government,Saranga,178,64,3,1,0,Dar es Salaam,233,188,11.25438087
S0800,Loyola Secondary School,Kinondoni Municipal,100,100,86,182,182,100,59,secondary,-6.816321806,39.23148988,private,Mabibo,882,64,14,43,0,Dar es Salaam,184,184,0
S1241,Juhudi Secondary School,Ilala Municipal,54,54,2203,397,198,49.87405542,928,secondary,-6.895337739,39.15941933,community,Ukonga,1423,64,22,2,1,Dar es Salaam,350,189,4.125944584
PS0206-002,Buza Primary School,Temeke Municipal,54.73441109,55,5210,422,193,45.73459716,3024,primary,39.23010238,-6.891708648,government,Buza,2657,63,42,1,0,Dar es Salaam,433,237,8.999813929
PS0206-039,Sandali Primary School,Temeke Municipal,77.7027027,78,2523,276,160,57.97101449,1772,primary,39.2448291,-6.855807165,government,Sandali,2735,63,43,2,0,Dar es Salaam,296,230,19.73168821
PS1306-115,Sengerema Primary School,Sengerema,73.78640777,74,2781,118,57,48.30508475,3231,primary,,,government,Nyampulukano,1552,62,25,,0,Mwanza,103,76,25.48132302
S0304,Bukoba Secondary School,Bukoba Municipal,78,78,685,220,103,46.81818182,1092,secondary,,,government,Miembeni,677,62,11,,5,Kagera,180,140,31.18181818
S3675,Rau Secondary School,Moshi Municipal,63,63,1628,177,69,38.98305085,1401,secondary,,,government,Mfumuni,697,62,11,3,1,Kilimanjaro,130,82,24.01694915
PS0206-046,Kizuiani Primary School,Temeke Municipal,64.17910448,64,3968,279,112,40.14336918,3421,primary,39.27636043,-6.914805395,government,Mbagala Kuu,2174,61,36,2,0,Dar es Salaam,268,172,24.0357353
PS0202-028,Olympio Primary School,Ilala Municipal,86.57718121,87,1388,315,243,77.14285714,846,primary,39.28210785,-6.810046053,private,Up/mash,1923,60,32,8,0,Dar es Salaam,298,258,9.434324065
PS0202-083,Tusiime Primary School,Ilala Municipal,100,100,2,130,130,100,8,primary,39.1918399,-6.843420206,private,Segerea,1127,60,19,60,0,Dar es Salaam,158,158,0
PS0206-040,Ukombozi Primary School,Temeke Municipal,68.97810219,69,3286,324,148,45.67901235,2956,primary,39.23053924,-6.87786819,government,Yombo Vituka,2413,60,40,2,0,Dar es Salaam,274,189,23.29908984
PS0206-054,Mtoni Kijichi Primary School,Temeke Municipal,65.29209622,65,3682,294,144,48.97959184,2627,primary,39.28169581,-6.889145463,government,Kijichi,118,60,2,2,0,Dar es Salaam,291,190,16.31250438
PS0206-057,Bwawani Primary School,Temeke Municipal,64.08450704,64,3766,304,124,40.78947368,3382,primary,39.28151244,-6.886524982,government,Kijichi,1886,60,31,,0,Dar es Salaam,284,182,23.29503336
PS0302-003,Chamwino Primary School,Dodoma Municipal,90.11627907,90,1683,407,293,71.99017199,1283,primary,,,government,Chamwino,2251,60,38,1,1,Dodoma,344,310,18.12610708
PS1104-049,Azimio Primary School,Morogoro Municipal,48.5915493,49,7275,209,62,29.66507177,5202,primary,,,government,Kihonda,2062,60,34,1,0,Morogoro,284,138,18.92647753
S1722,Temeke Secondary School,Temeke Municipal,73,73,776,292,146,50,790,secondary,-6.854930287,39.24369729,private,Sandali,1392,60,23,3,1,Dar es Salaam,174,127,23
S2114,Mtwivila Secondary School,Iringa Municipal,46,46,2614,183,66,36.06557377,1393,secondary,,,government,Mtwivila,615,60,10,3,,Iringa,131,60,9.93442623
PS2403-019,Kivukoni Primary School,Geita,78.91891892,79,2637,,,,,primary,,,government,Kalangalala Kusini,2284,59,39,,0,Geita,185,146,
S1116,Mtipe Secondary School,Sumbawanga Municipal,60,60,2075,105,16,15.23809524,3779,secondary,,,government,Kasense,266,59,5,60,119,Rukwa,50,30,44.76190476
S1416,Kiboriloni Secondary School,Moshi Municipal,63,63,1112,192,103,53.64583333,776,secondary,,,government,Kiborloni,624,58,11,2,,Kilimanjaro,197,125,9.354166667
S2381,Turiani Secondary School,Kinondoni Municipal,70,70,1006,196,87,44.3877551,1008,secondary,-6.804259009,39.25566491,,Ndugumbi,1002,58,17,2,0,Dar es Salaam,266,185,25.6122449
S2675,Mbizi Secondary School,Sumbawanga Municipal,67,67,1987,78,20,25.64102564,2780,secondary,,,government,Senga,232,58,4,63,121,Rukwa,42,28,41.35897436
S0938,Mbezi Beach Secondary School,Kinondoni Municipal,100,100,250,149,149,100,199,secondary,-6.729284422,39.21273282,private,Mbezi Juu,1179,57,21,28,0,Dar es Salaam,155,155,0
S2265,Elerai Secondary School,Arusha Municipal,66,66,1174,476,162,34.03361345,1824,secondary,,,government,Elerai,1270,57,22,9,0,Arusha,210,139,31.96638655
S2680,Miyomboni Secondary School,Iringa Municipal,54,54,2484,140,48,34.28571429,1844,secondary,,,government,Kitanzini / Mshindo,745,57,13,3,,Iringa,145,79,19.71428571
PS0202-006,Bunge Primary School,Ilala Municipal,95.97701149,96,1092,193,151,78.23834197,916,primary,39.29531583,-6.817828121,government,Kivukoni,1870,56,33,3,0,Dar es Salaam,174,167,17.73866953
PS0202-056,Liwiti Primary School,Ilala Municipal,72.72727273,73,2661,258,129,50,1975,primary,39.21520816,-6.84183633,government,Segerea,1844,56,33,1,0,Dar es Salaam,220,160,22.72727273
PS0202-074,Tumaini Primary School,Ilala Municipal,87.94788274,88,1190,336,257,76.48809524,716,primary,39.22655236,-6.745411847,government,Kimanga,2077,56,37,2,0,Dar es Salaam,307,270,11.4597875
PS0204-077,Manzese Primary School,Kinondoni Municipal,85.48387097,85,1669,207,141,68.11594203,1102,primary,39.22911833,-6.798937841,government,Manzese,1700,56,30,4,0,Dar es Salaam,248,212,17.36792894
S0324,Lindi Secondary School,Lindi Municipal,69,69,1421,125,65,52,1063,secondary,,,government,Mtanda,930,56,17,6,8,Lindi,124,85,17
S2476,Mbagala Secondary School,Temeke Municipal,53,53,1885,411,196,47.68856448,816,secondary,-6.916913088,39.29152386,government,Mbagala,1208,56,22,5,2,Dar es Salaam,391,209,5.311435523
S2862,Nanenane Secondary School,Morogoro Municipal,26,26,3993,226,45,19.91150442,3525,secondary,,,government,Mji Mkuu,428,56,8,,,Morogoro,87,23,6.088495575
S2863,Tubuyu Secondary School,Morogoro Municipal,27,27,3919,102,21,20.58823529,3461,secondary,,,government,Boma,289,56,5,1,,Morogoro,71,19,6.411764706
S3693,Karanga Secondary School,Moshi Municipal,83,83,630,158,73,46.20253165,970,secondary,,,government,Shirimatunda,699,56,12,2,3,Kilimanjaro,107,89,36.79746835
S3889,Mlimwa Secondary School,Dodoma Municipal,56,56,2382,122,33,27.04918033,2623,secondary,,,government,K/ndege,506,56,9,2,,Dodoma,88,49,28.95081967
PS0102-018,Sinon Primary School,Arusha Municipal,86.97183099,87,2168,357,244,68.34733894,1451,primary,,,government,Sokon I,2751,55,50,2,,Arusha,284,247,18.62449205
S0427,Makambako Secondary School,Makambako,65,65,1940,237,98,41.35021097,1226,secondary,,,government,Mjimwema,957,55,17,6,2,Njombe,186,120,23.64978903
S1161,Mawelewele Secondary School,Iringa Municipal,67,67,893,186,112,60.21505376,558,secondary,,,government,Mwangata,735,55,13,3,4,Iringa,141,94,6.784946237
S1337,Sumaye Secondary School,Morogoro Municipal,54,54,2096,263,96,36.50190114,1371,secondary,,,government,Bigwa,811,55,15,,,Morogoro,153,82,17.49809886
S2813,Kurasini Secondary School,Temeke Municipal,43,43,3043,354,119,33.61581921,2177,secondary,-6.842665533,39.28992189,,Kurasini,1445,55,26,1,4,Dar es Salaam,321,138,9.384180791
S3373,Korongoni Secondary School,Moshi Municipal,57,57,2128,130,57,43.84615385,1291,secondary,,,government,Soweto,603,55,11,2,,Kilimanjaro,99,56,13.15384615
S3533,Kawe Ukwamani Secondary School,Kinondoni Municipal,56,56,1746,202,84,41.58415842,1322,secondary,,,government,Kawe,1483,55,27,1,0,Dar es Salaam,275,153,14.41584158
S4493,Relini Secondary School,Temeke Municipal,54,54,2989,158,43,27.21518987,3192,secondary,-6.875981529,39.27454579,private,Mtoni,1264,55,23,5,0,Dar es Salaam,147,80,26.78481013
PS0202-047,Miembeni Primary School,Ilala Municipal,71.484375,71,2593,228,106,46.49122807,2903,primary,39.22522287,-6.851764181,government,Vingunguti,2942,54,54,2,0,Dar es Salaam,256,183,24.99314693
PS0202-054,Buguruni Kisiwani Primary School,Ilala Municipal,62.87878788,63,3958,97,40,41.2371134,3846,primary,39.24676407,-6.834421624,government,Buguruni,1283,54,24,2,0,Dar es Salaam,132,83,21.64167448
PS0206-037,Kilakala Primary School,Temeke Municipal,81.18466899,81,2294,309,155,50.1618123,2386,primary,39.24714857,-6.878058915,government,Kilakala,2230,54,41,,0,Dar es Salaam,287,233,31.02285669
PS0302-010,Kizota Primary School,Dodoma Municipal,57.05128205,57,5738,114,50,43.85964912,3470,primary,,,government,Kizota,1270,54,24,1,1,Dodoma,156,89,13.19163293
S0549,Lugoba Secondary School,Bagamoyo,49,49,2153,233,93,39.91416309,1065,secondary,,,government,Lugoba,1228,54,23,10,7,Pwani,202,99,9.08583691
S0949,Irkisongo Secondary School,Monduli,47,47,3119,116,30,25.86206897,3059,secondary,,,government,Monduli Mjini,650,54,12,13,0,Arusha,151,71,21.13793103
S1074,Kitangiri Secondary School,Ilemela,59,59,1900,191,71,37.17277487,1914,secondary,,,government,Pasiansi,1031,54,19,4,1,Mwanza,185,110,21.82722513
S1599,Baobab Secondary School,Bagamoyo,100,100,99,145,145,100,110,secondary,,,private,Mapinga,814,54,15,52,0,Pwani,127,127,0
S3220,Lumo Secondary School,Temeke Municipal,36,36,3607,363,84,23.14049587,3151,secondary,-6.88123605,39.22469364,,Yombo Vituka,1193,54,22,1,2,Dar es Salaam,286,102,12.85950413
S4169,Pendamoyo Secondary School,Temeke Municipal,38,38,3837,209,33,15.78947368,3706,secondary,-6.854134719,39.26005186,private,Temeke,346,54,6,3,1,Dar es Salaam,246,94,22.21052632
S4841,,,60,60,1345,106,46,43.39622642,1540,,,,,Chanji,625,54,12,0,54,,126,75,16.60377358
PS0102-032,Osunyai Primary School,Arusha Municipal,72.46835443,72,3656,386,194,50.25906736,2795,primary,,,government,Sombetini,2384,53,45,2,,Arusha,316,229,22.20928707
PS0202-022,Minazi Mirefu Primary School,Ilala Municipal,91.26213592,91,1186,273,206,75.45787546,860,primary,39.19359453,-6.874670466,government,Kipawa,2422,53,46,1,0,Dar es Salaam,309,282,15.80426046
PS0204-034,Msewe Primary School,Kinondoni Municipal,86.82926829,87,2090,187,116,62.03208556,1442,primary,39.19648213,-6.78742577,government,Ubungo,1916,53,36,2,0,Dar es Salaam,205,178,24.79718273
PS0204-066,Amani Primary School,Kinondoni Municipal,83.18965517,83,1282,245,157,64.08163265,1567,primary,39.23593868,-6.816330557,government,Mabibo,1707,53,32,2,0,Dar es Salaam,232,193,19.10802252
PS0206-052,Moringe Primary School,Temeke Municipal,56.40243902,56,4721,212,126,59.43396226,1787,primary,39.26369443,-6.878059136,government,Azimio,2214,53,42,,0,Dar es Salaam,328,185,-3.03152324
PS0206-061,Charambe Primary School,Temeke Municipal,65.54878049,66,3875,278,141,50.71942446,2508,primary,39.25434134,-6.923230334,government,Charambe,2843,53,54,,0,Dar es Salaam,328,215,14.82935603
PS0302-013,Mbwanga Primary School,Dodoma Municipal,79.76878613,80,2158,127,83,65.35433071,1194,primary,,,government,Miyuji,1191,53,22,1,1,Dodoma,173,138,14.41445542
PS2403-044,Nyanza Primary School,Geita,75.48076923,75,2755,,,,,primary,,,government,Kalangalala Kaskazini,1591,53,30,1,0,Geita,208,157,
PS2404-077,Lutozo Primary School,Geita,63.56275304,64,4059,,,,,primary,,,government,Katoro,934,53,18,,0,Geita,247,157,
PS2701-001,Bariadi Primary School,Bariadi,74.6031746,75,2731,,,,,primary,33.9900285,-2.7995998,government,Malambo,1156,53,22,,,Simiyu,126,94,
PS2701-032,Salunda Primary School,Bariadi,77.14285714,77,2256,,,,,primary,33.9798574,-2.8145882,government,Bariadi,1130,53,21,1,,Simiyu,140,108,
S0116,Kantalamba Secondary School,Sumbawanga Municipal,77,77,420,125,108,86.4,169,secondary,,,government,Chanji,174,53,3,0,53,Rukwa,163,126,-9.4
S1125,Enyoito Secondary School,Arusha,40,40,3176,413,79,19.1283293,3409,secondary,36.702954,-3.346959,government,Olturoto,1540,53,29,2,5,Arusha,284,115,20.8716707
S1864,Kiranyi Secondary School,Arusha,44,44,2942,258,72,27.90697674,2769,secondary,36.651139,-3.163462,government,Kiranyi,1426,53,27,1,5,Arusha,249,110,16.09302326
S2376,Mugabe Secondary School,Kinondoni Municipal,55,55,2099,180,86,47.77777778,995,secondary,-6.792173692,39.2213668,,Sinza,1300,53,25,3,0,Dar es Salaam,291,160,7.222222222
PS0102-019,Sombetini Primary School,Arusha Municipal,85.25641026,85,2134,271,159,58.67158672,1638,primary,,,government,Sombetini,1772,52,34,3,,Arusha,312,266,26.58482354
PS0202-086,Majani Ya Chai Primary School,Ilala Municipal,74.65277778,75,2298,313,169,53.99361022,1978,primary,39.21382234,-6.859765994,government,Kipawa,2128,52,41,3,0,Dar es Salaam,288,215,20.65916755
PS0206-078,Juhudi Primary School,Temeke Municipal,67.96407186,68,3443,282,178,63.12056738,1619,primary,39.25566056,-6.901917518,government,Kiburugwa,2487,52,48,2,0,Dar es Salaam,334,227,4.84350448
PS0206-088,Kilamba Primary School,Temeke Municipal,75.27472527,75,2504,247,132,53.44129555,2257,primary,39.25855158,-6.925019149,government,Charambe,2349,52,45,,0,Dar es Salaam,364,274,21.83342973
PS2404-159,Ludete Primary School,Geita,69.11764706,69,3885,,,,,primary,,,government,Katoro,1617,52,31,,0,Geita,136,94,
PS0204-083,Mkwawa Primary School,Kinondoni Municipal,92.22797927,92,1008,226,150,66.37168142,1110,primary,39.25081647,-6.819746208,government,Kigogo,1960,51,38,1,0,Dar es Salaam,193,178,25.85629786
PS0302-049,Ipagala Primary School,Dodoma Municipal,77.77777778,78,2231,144,84,58.33333333,1767,primary,,,government,Makole,1270,51,25,1,1,Dodoma,144,112,19.44444444
PS1306-144,Bukala Primary School,Sengerema,65.89147287,66,4502,154,72,46.75324675,3319,primary,,,government,Ibisabageni,1203,51,24,,0,Mwanza,129,85,19.13822612
S0140,Mzumbe Secondary School,Mvomero,100,100,60,103,102,99.02912621,30,secondary,37.5701735,-6.9319295,government,Mzumbe,713,51,14,0,14,Morogoro,108,108,0.970873786
S0781,Arusha Day Secondary School,Arusha Municipal,88,88,413,156,118,75.64102564,411,secondary,,,government,Themi,1030,51,20,7,2,Arusha,190,167,12.35897436
S1396,Chanzige Secondary School,Kisarawe,57,57,1758,151,39,25.82781457,2898,secondary,,,government,Kisarawe,300,51,6,,,Pwani,63,36,31.17218543
S1439,Kidodi Secondary School,Kilosa,48,48,2370,174,53,30.45977011,2301,secondary,,,government,Ruaha,1184,51,23,3,1,Morogoro,226,108,17.54022989
S1669,Mlamke Secondary School,Iringa Municipal,61,61,1294,198,116,58.58585859,566,secondary,,,government,Ilala / Makorongoni,835,51,16,3,1,Iringa,159,97,2.414141414
S1840,Kimaseki Secondary School,Arusha Municipal,53,53,2012,380,96,25.26315789,2689,secondary,,,government,Kimandolu,1438,51,28,11,0,Arusha,292,154,27.73684211
S2755,Zawadi Secondary School,Ilala Municipal,63,63,1483,163,44,26.99386503,2841,secondary,-6.8323135,39.22930459,,Tabata,593,51,12,2,1,Dar es Salaam,162,102,36.00613497
PS0102-054,Ukombozi Primary School,Arusha Municipal,74.07407407,74,3311,308,175,56.81818182,2222,primary,36.68242,-3.392316,government,Sokon I,2735,50,55,4,,Arusha,243,180,17.25589226
PS0105-027,Leganga Primary School,Meru,55.85585586,56,5634,140,51,36.42857143,4613,primary,,,government,Usa River,1200,50,24,,0,Arusha,111,62,19.42728443
PS0202-046,Diamond Primary School,Ilala Municipal,85.74181118,86,1620,482,363,75.31120332,892,primary,39.28233611,-6.809489681,private,Up/mash,3163,50,63,,0,Dar es Salaam,519,445,10.43060786
PS0204-097,Hekima Primary School,Kinondoni Municipal,77.33333333,77,2560,195,113,57.94871795,1643,primary,39.24245891,-6.798953231,government,Tandale,2041,50,41,5,0,Dar es Salaam,225,174,19.38461538
PS0206-015,Mgulani Primary School,Temeke Municipal,93.26599327,93,992,432,346,80.09259259,757,primary,39.27580773,-6.851140788,government,Miburani,1698,50,34,,0,Dar es Salaam,297,277,13.17340067
PS0206-093,Mtoni Sabasaba Primary School,Temeke Municipal,71.83673469,72,3030,259,128,49.42084942,2579,primary,39.28075912,-6.867619531,government,Mtoni,1659,50,33,2,0,Dar es Salaam,245,176,22.41588527
PS1306-114,Mweli Primary School,Sengerema,58.55263158,59,5118,182,76,41.75824176,3957,primary,,,government,Nyatukala,1335,50,27,,0,Mwanza,152,89,16.79438982
PS0102-005,Kaloleni Primary School,Arusha Municipal,87.59689922,88,1574,170,118,69.41176471,1271,primary,,,government,Kaloleni,889,49,18,4,,Arusha,129,113,18.18513452
PS0202-050,Segerea Primary School,Ilala Municipal,83.33333333,83,1981,149,92,61.74496644,1780,primary,39.1914292,-6.839674875,government,Segerea,1164,49,24,1,0,Dar es Salaam,144,120,21.58836689
PS0206-033,Bokorani Primary School,Temeke Municipal,70.58823529,71,3404,175,68,38.85714286,3784,primary,39.27422858,-6.87525804,government,Mtoni,1900,49,39,,0,Dar es Salaam,221,156,31.73109244
PS0902-078,Mugane Primary School,Musoma,39.0625,39,7607,75,31,41.33333333,3785,primary,33.7016424,-1.6945604,government,,568,49,12,,,Mara,64,25,-2.270833333
S0110,Ilboru Secondary School,Arusha,100,100,62,117,117,100,53,secondary,,,government,Moivo,853,49,17,16,0,Arusha,104,104,0
S2774,Msimbazi Secondary School,Ilala Municipal,49,49,2578,114,28,24.56140351,3219,secondary,-6.824574607,39.25645194,,Ilala,975,49,20,1,3,Dar es Salaam,171,83,24.43859649
